posID,screens,passes,type,result,contest,shot_clock,shooter,q
1,0,2,fb,make,med,20,,
2,0,2,fb,make,med,20,,
3,0,0,fb,make,low,23,,
4,2,3,hq,miss,low,15,,
5,1,3,hq,miss,low,16,,
6,3,2,hq,miss,med,12,,
7,0,1,fb,miss,high,19,,
8,0,2,hq,to,,18,,
9,2,1,hq,to,,13,,
10,0,0,fb,make,low,23,,
11,3,5,hq,foul,high,8,,
12,1,1,hq,make,med,17,,
13,0,1,hq,miss,high,19,,
14,0,3,hq,to,,12,,
15,0,0,fb,make,med,20,,
16,0,0,fb,miss,high,20,,
17,1,0,hq,miss,high,15,,
18,2,3,hq,to,,16,,
19,1,3,hq,miss,med,13,,
20,0,0,fb,foul,high,22,,
21,2,1,hq,miss,med,1,,
22,0,1,hw,to,,17,,
23,0,2,hq,miss,med,18,,
24,0,1,fb,make,high,20,,
25,0,2,hq,miss,high,17,,
26,0,2,hq,miss,high,13,,
27,1,2,hq,to,,14,,
28,0,4,hq,miss,low,17,,
29,1,3,hq,to,,12,,
30,1,2,hq,make,low,12,,
31,0,0,hq,to,,16,,
32,0,1,hq,to,,15,,
33,0,2,hq,miss,high,14,,
34,1,1,hq,foul,high,17,,
35,0,1,hq,miss,med,17,,
36,2,3,hq,miss,med,9,,
37,1,1,hq,to,,15,,
38,0,1,hq,to,,20,,
39,0,1,hq,make,high,13,,
40,1,4,hq,miss,high,10,,
41,0,2,hq,to,,16,,
42,1,1,hq,miss,high,15,,
43,0,0,hq,make,high,5,,
44,0,1,fb,foul,high,19,,
45,1,1,hq,to,,14,,
46,0,1,fb,make,high,20,,
47,0,1,hq,miss,med,16,,
48,1,0,hq,make,low,16,,
49,0,2,hq,to,,14,,
50,1,3,hq,miss,med,10,,
51,0,3,hq,to,,3,,
52,0,0,fb,miss,med,15,,
53,1,1,hq,miss,high,15,,
54,1,1,hq,make,low,17,,
55,0,1,fb,miss,high,20,,
56,0,2,hq,miss,high,15,,
57,1,2,hq,make,high,13,,
58,1,0,hq,miss,high,15,,
59,0,2,fb,miss,high,20,,
60,0,2,fb,to,,21,,
61,0,1,hq,miss,med,12,,
62,0,4,hq,foul,high,4,,
63,1,2,hq,miss,med,4,,
64,1,2,hq,miss,high,15,,
65,0,2,hq,miss,low,10,,
66,0,1,hq,to,,15,,
67,0,1,hq,make,low,17,,
68,1,2,hq,to,,9,,
69,0,1,hq,make,med,16,,
70,0,0,hq,miss,med,16,,
71,0,2,hq,make,high,12,,
72,0,1,fb,make,high,20,,
73,1,2,hq,miss,med,6,,
74,0,6,hq,make,high,1,,
75,0,0,fb,make,high,22,,
76,0,1,hq,miss,high,12,,
