posID,screens,passes,type,result,contest,shot_clock,shooter,q
1,0,0,hq,to,,17,,
2,3,4,hq,miss,med,5,,
3,3,1,hq,make,med,13,,
4,0,0,hq,to,,17,,
5,0,0,hq,to,,11,,
6,0,3,hq,miss,high,6,,
7,0,3,hq,make,med,18,,
8,0,0,hq,foul,high,1,,
9,1,3,hq,miss,high,11,,
10,1,1,hq,make,low,13,,
11,0,4,hq,make,med,9,,
12,0,2,hq,miss,med,15,,
13,0,0,hq,make,none,19,,
14,0,2,hq,miss,low,15,,
15,1,3,hq,to,,14,,
16,0,2,hq,make,high,15,,
17,1,3,hq,foul,high,9,,
18,9,1,hq,miss,med,14,,
19,1,6,hq,make,low,7,,
20,0,2,hq,miss,low,15,,
21,0,4,hq,to,,14,,
22,0,1,hq,to,,20,,
23,1,0,hq,foul,,13,,
24,0,2,hq,miss,low,14,,
25,0,1,hq,to,,16,,
26,1,4,hq,make,low,12,,
27,0,2,hq,miss,med,12,,
28,1,4,hq,miss,none,13,,
29,0,3,hq,make,low,9,,
30,1,3,hq,miss,low,10,,
31,0,0,fb,make,low,21,,
32,0,1,hq,miss,med,13,,
33,1,2,hq,to,,17,,
34,0,2,hq,foul,high,10,,
35,0,2,hq,to,,9,,
36,0,3,hq,make,med,14,,
37,0,2,hq,to,,19,,
38,0,0,hq,make,med,11,,
39,0,1,hq,make,med,1,,
40,1,2,hq,miss,med,13,,
41,0,4,hq,make,none,13,,
42,0,5,hq,miss,high,3,,
43,1,0,hq,make,high,15,,
44,1,4,hq,oreb,low,7,,
45,0,2,hq,oreb,high,20,,
46,0,1,fb,miss,high,20,,
47,0,2,hq,to,,13,,
48,0,2,hq,foul,med,12,,
49,0,2,hq,miss,none,12,,
50,1,1,hq,miss,high,16,,
51,0,4,hq,make,med,10,,
52,0,0,hq,miss,high,18,,
53,0,1,fb,miss,high,22,,
54,0,6,hq,oreb,high,9,,
55,0,4,hq,to,,8,,
56,0,4,hq,miss,low,12,,
57,0,4,hq,oreb,high,12,,
58,0,2,hq,make,high,17,,
59,0,3,hq,oreb,,19,,
60,1,3,hq,make,med,16,,
61,1,0,hq,miss,high,16,,
62,0,1,hq,to,,15,,
63,6,1,hq,make,low,16,,
64,0,2,hq,make,med,16,,
65,0,2,fb,make,low,20,,
66,0,2,hq,oreb,low,14,,
67,0,0,hq,make,med,8,,
68,0,0,fb,make,low,22,,
69,0,3,hq,oreb,med,13,,
70,0,1,hq,foul,,16,,
71,0,1,hq,make,med,15,,
72,0,3,hq,foul,med,14,,
73,0,3,hq,make,med,10,,
74,0,2,hq,to,,12,,
75,1,4,hq,miss,high,10,,
76,1,1,hq,make,low,12,,
77,0,1,hq,foul,,14,,
78,1,0,hq,make,med,20,,
79,0,3,hq,foul,,10,,
80,0,1,hq,miss,med,19,,
